a,b,c,d,pm
1.12e-05,0.000132012,4.8e-06,8.53e-05,8.53e-05
1.12e-05,0.000132012,4.8e-06,8.96e-05,8.96e-05
1.12e-05,0.000132012,4.8e-06,97.9378595,96.18408855
1.12e-05,0.000132012,4.8e-06,94.65753414,92.94878956
1.12e-05,0.000132012,4.8e-06,92.40439008,91.02553089
1.12e-05,0.000132012,4.8e-06,91.20370738,89.84460121
1.12e-05,0.000132012,4.8e-06,90.07899575,88.74266904
1.12e-05,0.000132012,4.8e-06,89.01501353,87.70232576
1.12e-05,0.000132012,4.8e-06,88.00376307,86.71633331
1.12e-05,0.000132012,4.8e-06,87.49281667,86.38012856
1.12e-05,0.000132012,4.8e-06,87.30777359,86.20688288
1.12e-05,0.000132012,4.8e-06,87.11702878,86.0292813
1.12e-05,0.000132012,4.8e-06,86.92395776,85.84927264
1.12e-05,0.000132012,4.8e-06,86.72926195,85.66754882
1.12e-05,0.000132012,4.8e-06,86.53382643,85.48500541
1.12e-05,0.000132012,4.266667e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,4.266667e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,4.266667e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,4.266667e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,4.266667e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,4.266667e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,4.266667e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,4.266667e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,4.266667e-06,7.25e-05,7.25e-05
1.12e-05,0.000132012,4.266667e-06,7.68e-05,7.68e-05
1.12e-05,0.000132012,4.266667e-06,8.11e-05,8.11e-05
1.12e-05,0.000132012,4.266667e-06,8.53e-05,8.53e-05
1.12e-05,0.000132012,4.266667e-06,8.96e-05,8.96e-05
1.12e-05,0.000132012,4.266667e-06,95.19864888,100.1461998
1.12e-05,0.000132012,4.266667e-06,91.99552014,96.81600674
