a,b,c,d,ugf
1.12e-05,0.000132012,4.8e-06,3878365.755,3965809.504
1.12e-05,0.000132012,4.8e-06,4352105.861,4424110.72
1.12e-05,0.000132012,4.8e-06,4880232.487,4999489.525
1.12e-05,0.000132012,4.8e-06,5482186.741,5585019.211
1.12e-05,0.000132012,4.8e-06,5984750.653,6074028.874
1.12e-05,0.000132012,4.8e-06,6412086.585,6490128.775
1.12e-05,0.000132012,4.8e-06,6780652.012,6849120.383
1.12e-05,0.000132012,4.8e-06,7308497.877,7437507.873
1.12e-05,0.000132012,4.8e-06,7910634.567,8026001.035
1.12e-05,0.000132012,4.8e-06,8448319.693,8551323.764
1.12e-05,0.000132012,4.8e-06,8931552.625,9023622.05
1.12e-05,0.000132012,4.8e-06,9368800.611,9451131.143
1.12e-05,0.000132012,4.8e-06,9766756.192,9840358.319
1.12e-05,0.000132012,4.266667e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,4.266667e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,4.266667e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,4.266667e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,4.266667e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,4.266667e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,4.266667e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,4.266667e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,4.266667e-06,7.25e-05,7.25e-05
1.12e-05,0.000132012,4.266667e-06,7.68e-05,7.68e-05
1.12e-05,0.000132012,4.266667e-06,8.11e-05,8.11e-05
1.12e-05,0.000132012,4.266667e-06,8.53e-05,8.53e-05
1.12e-05,0.000132012,4.266667e-06,8.96e-05,8.96e-05
1.12e-05,0.000132012,4.266667e-06,4013147.939,3762223.255
1.12e-05,0.000132012,4.266667e-06,4462752.375,4256318.284
1.12e-05,0.000132012,4.266667e-06,5064367.708,4723046.375
1.12e-05,0.000132012,4.266667e-06,5640901.883,5346485.454
1.12e-05,0.000132012,4.266667e-06,6122478.074,5866731.729
1.12e-05,0.000132012,4.266667e-06,6532446.778,6308818.156
1.12e-05,0.000132012,4.266667e-06,6886206.27,6689933.093
1.12e-05,0.000132012,4.266667e-06,7507518.352,7138091.965
1.12e-05,0.000132012,4.266667e-06,8088465.092,7759363.189
1.12e-05,0.000132012,4.266667e-06,8607033.52,8311545.788
1.12e-05,0.000132012,4.266667e-06,9073358.572,8809156.922
1.12e-05,0.000132012,4.266667e-06,9495547.903,9259200.778
1.12e-05,0.000132012,4.266667e-06,9880007.839,9668621.627
1.12e-05,0.000132012,4.533333e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,4.533333e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,4.533333e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,4.533333e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,4.533333e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,4.533333e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,4.533333e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,4.533333e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,4.533333e-06,7.25e-05,7.25e-05
1.12e-05,0.000132012,4.533333e-06,7.68e-05,7.68e-05
1.12e-05,0.000132012,4.533333e-06,8.11e-05,8.11e-05
1.12e-05,0.000132012,4.533333e-06,8.53e-05,8.53e-05
1.12e-05,0.000132012,4.533333e-06,8.96e-05,8.96e-05
1.12e-05,0.000132012,4.533333e-06,3799162.638,54568065.03
1.12e-05,0.000132012,4.533333e-06,4286798.274,69044379.54
1.12e-05,0.000132012,4.533333e-06,4772887.345,79251146.99
1.12e-05,0.000132012,4.533333e-06,5389528.698,88401423.97
1.12e-05,0.000132012,4.533333e-06,5904187.669,96883047.95
1.12e-05,0.000132012,4.533333e-06,6341604.229,103342590.3
1.12e-05,0.000132012,4.533333e-06,6718747.245,108443429.3
1.12e-05,0.000132012,4.533333e-06,7192147.349,112532815.1
1.12e-05,0.000132012,4.533333e-06,7806238.635,115804088.6
1.12e-05,0.000132012,4.533333e-06,8355028.681,118410131.7
1.12e-05,0.000132012,4.533333e-06,8848078.942,120486060.1
1.12e-05,0.000132012,4.533333e-06,9294066.82,122142155.2
1.12e-05,0.000132012,4.533333e-06,9699854.376,123462921.2
1.12e-05,0.000132012,4e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,4e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,4e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,4e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,4e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,4e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,4e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,4e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,4e-06,7.25e-05,7.25e-05
1.12e-05,0.000132012,4e-06,7.68e-05,7.68e-05
1.12e-05,0.000132012,4e-06,8.11e-05,8.11e-05
1.12e-05,0.000132012,4e-06,8.53e-05,8.53e-05
1.12e-05,0.000132012,4e-06,8.96e-05,8.96e-05
1.12e-05,0.000132012,4e-06,58447199.08,60188822.37
1.12e-05,0.000132012,4e-06,73125356.44,74823806.42
1.12e-05,0.000132012,4e-06,83120794.83,85691480.7
1.12e-05,0.000132012,4e-06,94254258.76,96649303.94
1.12e-05,0.000132012,4e-06,102369802.1,104622271.4
1.12e-05,0.000132012,4e-06,108533056.5,110671236.5
1.12e-05,0.000132012,4e-06,113344844.6,115371311.5
1.12e-05,0.000132012,4e-06,117156225.7,119074227.3
1.12e-05,0.000132012,4e-06,120185223.0,122007721.5
1.12e-05,0.000132012,4e-06,122593839.5,124337863.4
1.12e-05,0.000132012,4e-06,124513336.6,126479027.9
1.12e-05,0.000132012,4e-06,126198969.8,129419366.6
1.12e-05,0.000132012,4e-06,128677520.7,131848107.7
1.12e-05,0.000132012,5.6e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,5.6e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,5.6e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,5.6e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,5.6e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,5.6e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,5.6e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,5.6e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,5.6e-06,7.25e-05,7.25e-05
1.12e-05,0.000132012,5.6e-06,7.68e-05,7.68e-05
