a,b,c,d,gain
1.12e-05,0.000132012,3.733333e-06,8.53e-05,8.53e-05
1.12e-05,0.000132012,3.733333e-06,8.96e-05,8.96e-05
1.12e-05,0.000132012,3.733333e-06,8.24665238,8.057386198
1.12e-05,0.000132012,3.733333e-06,9.335406268,9.146152589
1.12e-05,0.000132012,3.733333e-06,10.32068334,10.13176469
1.12e-05,0.000132012,3.733333e-06,11.22183795,11.03318279
1.12e-05,0.000132012,3.733333e-06,12.05300602,11.86485399
1.12e-05,0.000132012,3.733333e-06,12.82753195,12.63954784
1.12e-05,0.000132012,3.733333e-06,13.55225039,13.36464889
1.12e-05,0.000132012,3.733333e-06,14.2345597,14.04736346
1.12e-05,0.000132012,3.733333e-06,14.88020062,14.69342311
1.12e-05,0.000132012,3.733333e-06,15.49390744,15.30763661
1.12e-05,0.000132012,3.733333e-06,16.0794407,15.89370488
1.12e-05,0.000132012,3.733333e-06,16.64004408,16.45487254
1.12e-05,0.000132012,3.733333e-06,17.17847523,16.99389823
1.12e-05,0.000132012,4.8e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,4.8e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,4.8e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,4.8e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,4.8e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,4.8e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,4.8e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,4.8e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,4.8e-06,7.25e-05,7.25e-05
1.12e-05,0.000132012,4.8e-06,7.68e-05,7.68e-05
1.12e-05,0.000132012,4.8e-06,8.11e-05,8.11e-05
1.12e-05,0.000132012,4.8e-06,8.53e-05,8.53e-05
1.12e-05,0.000132012,4.8e-06,8.96e-05,8.96e-05
1.12e-05,0.000132012,4.8e-06,7.311622943,7.576936295
1.12e-05,0.000132012,4.8e-06,8.401371667,8.666394664
1.12e-05,0.000132012,4.8e-06,9.387662885,9.652333296
1.12e-05,0.000132012,4.8e-06,10.29028678,10.55449335
1.12e-05,0.000132012,4.8e-06,11.12379177,11.38737357
1.12e-05,0.000132012,4.8e-06,11.89961114,12.16270869
1.12e-05,0.000132012,4.8e-06,12.62636371,12.88884574
1.12e-05,0.000132012,4.8e-06,13.31074201,13.57262386
1.12e-05,0.000132012,4.8e-06,13.95819267,14.21967188
1.12e-05,0.000132012,4.8e-06,14.57469089,14.83529421
1.12e-05,0.000132012,4.8e-06,15.16313335,15.4228342
1.12e-05,0.000132012,4.8e-06,15.72677266,15.98554155
1.12e-05,0.000132012,4.8e-06,16.26837692,16.52617959
1.12e-05,0.000132012,4.266667e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,4.266667e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,4.266667e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,4.266667e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,4.266667e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,4.266667e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,4.266667e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,4.266667e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,4.266667e-06,7.25e-05,7.25e-05
1.12e-05,0.000132012,4.266667e-06,7.68e-05,7.68e-05
1.12e-05,0.000132012,4.266667e-06,8.11e-05,8.11e-05
1.12e-05,0.000132012,4.266667e-06,8.53e-05,8.53e-05
1.12e-05,0.000132012,4.266667e-06,8.96e-05,8.96e-05
1.12e-05,0.000132012,4.266667e-06,7.724579238,6.97282848
1.12e-05,0.000132012,4.266667e-06,8.813172662,8.063040187
1.12e-05,0.000132012,4.266667e-06,9.79964269,9.049775299
1.12e-05,0.000132012,4.266667e-06,10.70156282,9.953083822
1.12e-05,0.000132012,4.266667e-06,11.53408295,10.78735911
1.12e-05,0.000132012,4.266667e-06,12.30918753,11.56391043
1.12e-05,0.000132012,4.266667e-06,13.03499586,12.29149833
1.12e-05,0.000132012,4.266667e-06,13.71844305,12.97664951
1.12e-05,0.000132012,4.266667e-06,14.36520941,13.62614031
1.12e-05,0.000132012,4.266667e-06,14.98037725,14.24199329
1.12e-05,0.000132012,4.266667e-06,15.56744539,14.83172992
1.12e-05,0.000132012,4.266667e-06,16.12966144,15.39667775
1.12e-05,0.000132012,4.266667e-06,16.66978686,15.93962115
1.12e-05,0.000132012,4.533333e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,4.533333e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,4.533333e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,4.533333e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,4.533333e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,4.533333e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,4.533333e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,4.533333e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,4.533333e-06,7.25e-05,7.25e-05
1.12e-05,0.000132012,4.533333e-06,7.68e-05,7.68e-05
1.12e-05,0.000132012,4.533333e-06,8.11e-05,8.11e-05
1.12e-05,0.000132012,4.533333e-06,8.53e-05,8.53e-05
1.12e-05,0.000132012,4.533333e-06,8.96e-05,8.96e-05
1.12e-05,0.000132012,4.533333e-06,7.078997588,37.05022137
1.12e-05,0.000132012,4.533333e-06,8.169048853,41.8750146
1.12e-05,0.000132012,4.533333e-06,9.15564979,46.72335928
1.12e-05,0.000132012,4.533333e-06,10.05872846,50.20024602
1.12e-05,0.000132012,4.533333e-06,10.89276366,52.48035893
1.12e-05,0.000132012,4.533333e-06,11.66907413,53.92498675
1.12e-05,0.000132012,4.533333e-06,12.39639411,54.80725768
1.12e-05,0.000132012,4.533333e-06,13.08130231,55.34020179
1.12e-05,0.000132012,4.533333e-06,13.72890157,55.65810724
1.12e-05,0.000132012,4.533333e-06,14.34625581,55.83889168
1.12e-05,0.000132012,4.533333e-06,14.93556465,55.92647199
1.12e-05,0.000132012,4.533333e-06,15.50008522,55.94533474
1.12e-05,0.000132012,4.533333e-06,16.04259404,55.90872586
1.12e-05,0.000132012,4e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,4e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,4e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,4e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,4e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,4e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,4e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,4e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,4e-06,7.25e-05,7.25e-05
1.12e-05,0.000132012,4e-06,7.68e-05,7.68e-05
1.12e-05,0.000132012,4e-06,8.11e-05,8.11e-05
1.12e-05,0.000132012,4e-06,8.53e-05,8.53e-05
1.12e-05,0.000132012,4e-06,8.96e-05,8.96e-05
1.12e-05,0.000132012,4e-06,36.87881435,36.81201814
1.12e-05,0.000132012,4e-06,41.8930602,41.90788352
1.12e-05,0.000132012,4e-06,46.808501,46.84611716
1.12e-05,0.000132012,4e-06,50.2190822,50.22479114
1.12e-05,0.000132012,4e-06,52.41700525,52.38660489
1.12e-05,0.000132012,4e-06,53.79708638,53.73934223
1.12e-05,0.000132012,4e-06,54.64092815,54.56714565
1.12e-05,0.000132012,4e-06,55.15480711,55.07315684
1.12e-05,0.000132012,4e-06,55.46588177,55.38146767
1.12e-05,0.000132012,4e-06,55.64730239,55.56322778
1.12e-05,0.000132012,4e-06,55.74030208,55.65855215
1.12e-05,0.000132012,4e-06,55.76800394,55.68999506
1.12e-05,0.000132012,4e-06,55.74307626,55.66998057
1.12e-05,0.000132012,5.6e-06,3.84e-05,3.84e-05
1.12e-05,0.000132012,5.6e-06,4.27e-05,4.27e-05
1.12e-05,0.000132012,5.6e-06,4.69e-05,4.69e-05
1.12e-05,0.000132012,5.6e-06,5.12e-05,5.12e-05
1.12e-05,0.000132012,5.6e-06,5.55e-05,5.55e-05
1.12e-05,0.000132012,5.6e-06,5.97e-05,5.97e-05
1.12e-05,0.000132012,5.6e-06,6.4e-05,6.4e-05
1.12e-05,0.000132012,5.6e-06,6.83e-05,6.83e-05
1.12e-05,0.000132012,5.6e-06,7.25e-05,7.25e-05
