a,b,c,d,ugf
1.12e-05,0.000132012,4.8e-06,8.96e-05,9766756.192
1.12e-05,0.000132012,4.266667e-06,3.84e-05,3920959.653
1.12e-05,0.000132012,4.266667e-06,4.27e-05,4387194.273
1.12e-05,0.000132012,4.266667e-06,4.69e-05,4938226.871
1.12e-05,0.000132012,4.266667e-06,5.12e-05,5532210.305
1.12e-05,0.000132012,4.266667e-06,5.55e-05,6028199.684
1.12e-05,0.000132012,4.266667e-06,5.97e-05,6450076.568
1.12e-05,0.000132012,4.266667e-06,6.4e-05,6813992.771
1.12e-05,0.000132012,4.266667e-06,6.83e-05,7371278.693
1.12e-05,0.000132012,4.266667e-06,7.25e-05,7966820.834
1.12e-05,0.000132012,4.266667e-06,7.68e-05,8498500.919
1.12e-05,0.000132012,4.266667e-06,8.11e-05,8976422.31
1.12e-05,0.000132012,4.266667e-06,8.53e-05,9408939.675
1.12e-05,0.000132012,4.266667e-06,8.96e-05,9802655.435
1.12e-05,0.000132012,4.266667e-06,3.84e-05,4013147.939
1.12e-05,0.000132012,4.266667e-06,4.27e-05,4462752.375
1.12e-05,0.000132012,4.266667e-06,4.69e-05,5064367.708
1.12e-05,0.000132012,4.266667e-06,5.12e-05,5640901.883
1.12e-05,0.000132012,4.266667e-06,5.55e-05,6122478.074
1.12e-05,0.000132012,4.266667e-06,5.97e-05,6532446.778
1.12e-05,0.000132012,4.266667e-06,6.4e-05,6886206.27
1.12e-05,0.000132012,4.266667e-06,6.83e-05,7507518.352
1.12e-05,0.000132012,4.266667e-06,7.25e-05,8088465.092
1.12e-05,0.000132012,4.266667e-06,7.68e-05,8607033.52
1.12e-05,0.000132012,4.266667e-06,8.11e-05,9073358.572
1.12e-05,0.000132012,4.266667e-06,8.53e-05,9495547.903
1.12e-05,0.000132012,4.266667e-06,8.96e-05,9880007.839
1.12e-05,0.000132012,4.533333e-06,3.84e-05,3837825.324
1.12e-05,0.000132012,4.533333e-06,4.27e-05,4318686.778
1.12e-05,0.000132012,4.533333e-06,4.69e-05,4825206.371
1.12e-05,0.000132012,4.533333e-06,5.12e-05,5434698.784
1.12e-05,0.000132012,4.533333e-06,5.55e-05,5943473.904
1.12e-05,0.000132012,4.533333e-06,5.97e-05,6375981.14
1.12e-05,0.000132012,4.533333e-06,6.4e-05,6748947.712
1.12e-05,0.000132012,4.533333e-06,6.83e-05,7248873.283
1.12e-05,0.000132012,4.533333e-06,7.25e-05,7857183.379
1.12e-05,0.000132012,4.533333e-06,7.68e-05,8400561.273
1.12e-05,0.000132012,4.533333e-06,8.11e-05,8888827.221
1.12e-05,0.000132012,4.533333e-06,8.53e-05,9330557.078
1.12e-05,0.000132012,4.533333e-06,8.96e-05,9732529.254
1.12e-05,0.000132012,4.533333e-06,3.84e-05,3799162.638
1.12e-05,0.000132012,4.533333e-06,4.27e-05,4286798.274
1.12e-05,0.000132012,4.533333e-06,4.69e-05,4772887.345
1.12e-05,0.000132012,4.533333e-06,5.12e-05,5389528.698
1.12e-05,0.000132012,4.533333e-06,5.55e-05,5904187.669
