a,b,c,d,ugf
1.12e-05,0.000132012,5.6e-06,5.55e-05,108442331.4
1.12e-05,0.000132012,5.6e-06,5.97e-05,114307733.2
1.12e-05,0.000132012,5.6e-06,6.4e-05,118828177.6
1.12e-05,0.000132012,5.6e-06,6.83e-05,122355306.4
1.12e-05,0.000132012,5.6e-06,7.25e-05,125132633.1
1.12e-05,0.000132012,5.6e-06,7.68e-05,128594753.1
1.12e-05,0.000132012,5.6e-06,8.11e-05,132005173.9
1.12e-05,0.000132012,5.6e-06,8.53e-05,134840406.5
1.12e-05,0.000132012,5.6e-06,8.96e-05,137186400.7
1.12e-05,0.000132012,5.066667e-06,3.84e-05,66790518.64
1.12e-05,0.000132012,5.066667e-06,4.27e-05,81236225.62
1.12e-05,0.000132012,5.066667e-06,4.69e-05,95268587.11
1.12e-05,0.000132012,5.066667e-06,5.12e-05,105485812.5
1.12e-05,0.000132012,5.066667e-06,5.55e-05,112972525.9
1.12e-05,0.000132012,5.066667e-06,5.97e-05,118637703.2
1.12e-05,0.000132012,5.066667e-06,6.4e-05,122961979.6
1.12e-05,0.000132012,5.066667e-06,6.83e-05,126600864.7
1.12e-05,0.000132012,5.066667e-06,7.25e-05,131310357.5
1.12e-05,0.000132012,5.066667e-06,7.68e-05,135222031.6
1.12e-05,0.000132012,5.066667e-06,8.11e-05,138482853.5
1.12e-05,0.000132012,5.066667e-06,8.53e-05,141197609.3
1.12e-05,0.000132012,5.066667e-06,8.96e-05,143448249.5
1.12e-05,0.000132012,5.333333e-06,3.84e-05,68786140.07
1.12e-05,0.000132012,5.333333e-06,4.27e-05,83165007.81
1.12e-05,0.000132012,5.333333e-06,4.69e-05,98072163.2
1.12e-05,0.000132012,5.333333e-06,5.12e-05,108083898.6
1.12e-05,0.000132012,5.333333e-06,5.55e-05,115440443.2
1.12e-05,0.000132012,5.333333e-06,5.97e-05,121004839.8
1.12e-05,0.000132012,5.333333e-06,6.4e-05,125230302.8
1.12e-05,0.000132012,5.333333e-06,6.83e-05,130382096.4
1.12e-05,0.000132012,5.333333e-06,7.25e-05,134976697.4
1.12e-05,0.000132012,5.333333e-06,7.68e-05,138792471.2
1.12e-05,0.000132012,5.333333e-06,8.11e-05,141974503.4
1.12e-05,0.000132012,5.333333e-06,8.53e-05,144625518.7
1.12e-05,0.000132012,5.333333e-06,8.96e-05,146825456.2
1.12e-05,0.0,5.333333e-06,3.84e-05,12772633.85
1.12e-05,0.0,5.333333e-06,4.27e-05,14177921.93
1.12e-05,0.0,5.333333e-06,4.69e-05,15365117.06
1.12e-05,0.0,5.333333e-06,5.12e-05,17073835.97
1.12e-05,0.0,5.333333e-06,5.55e-05,19125964.38
1.12e-05,0.0,5.333333e-06,5.97e-05,20958161.59
1.12e-05,0.0,5.333333e-06,6.4e-05,22609191.51
1.12e-05,0.0,5.333333e-06,6.83e-05,24259570.32
1.12e-05,0.0,5.333333e-06,7.25e-05,27405154.66
1.12e-05,0.0,5.333333e-06,7.68e-05,30301540.71
1.12e-05,0.0,5.333333e-06,8.11e-05,32981546.8
1.12e-05,0.0,5.333333e-06,8.53e-05,35470697.49
1.12e-05,0.0,5.333333e-06,8.96e-05,39265211.05
1.12e-05,0.0003889991,2.4e-06,3.84e-05,12620830.11
1.12e-05,0.0003889991,2.4e-06,4.27e-05,14080337.63
1.12e-05,0.0003889991,2.4e-06,4.69e-05,15311956.69
1.12e-05,0.0003889991,2.4e-06,5.12e-05,17039697.53
1.12e-05,0.0003889991,2.4e-06,5.55e-05,19168832.57
1.12e-05,0.0003889991,2.4e-06,5.97e-05,21067423.93
1.12e-05,0.0003889991,2.4e-06,6.4e-05,22776827.88
1.12e-05,0.0003889991,2.4e-06,6.83e-05,24766109.18
1.12e-05,0.0003889991,2.4e-06,7.25e-05,28033635.88
1.12e-05,0.0003889991,2.4e-06,7.68e-05,31040168.06
1.12e-05,0.0003889991,2.4e-06,8.11e-05,33820187.44
1.12e-05,0.0003889991,2.4e-06,8.53e-05,36491570.95
1.12e-05,0.0003889991,2.4e-06,8.96e-05,41276949.54
1.12e-05,0.0003889991,2.666667e-06,3.84e-05,12480591.14
1.12e-05,0.0003889991,2.666667e-06,4.27e-05,13986579.76
1.12e-05,0.0003889991,2.666667e-06,4.69e-05,15255640.01
1.12e-05,0.0003889991,2.666667e-06,5.12e-05,16985305.93
1.12e-05,0.0003889991,2.666667e-06,5.55e-05,19179813.48
1.12e-05,0.0003889991,2.666667e-06,5.97e-05,21134842.62
1.12e-05,0.0003889991,2.666667e-06,6.4e-05,22893881.98
1.12e-05,0.0003889991,2.666667e-06,6.83e-05,25141776.08
1.12e-05,0.0003889991,2.666667e-06,7.25e-05,28513670.21
1.12e-05,0.0003889991,2.666667e-06,7.68e-05,31614217.21
1.12e-05,0.0003889991,2.666667e-06,8.11e-05,34479415.66
1.12e-05,0.0003889991,2.666667e-06,8.53e-05,37972059.98
1.12e-05,0.0003889991,2.666667e-06,8.96e-05,42905042.31
1.12e-05,0.0003889991,2.933333e-06,3.84e-05,12293129.06
1.12e-05,0.0003889991,2.933333e-06,4.27e-05,13857031.14
1.12e-05,0.0003889991,2.933333e-06,4.69e-05,15171867.33
1.12e-05,0.0003889991,2.933333e-06,5.12e-05,16887813.45
1.12e-05,0.0003889991,2.933333e-06,5.55e-05,19163560.66
1.12e-05,0.0003889991,2.933333e-06,5.97e-05,21193896.47
1.12e-05,0.0003889991,2.933333e-06,6.4e-05,23015527.23
1.12e-05,0.0003889991,2.933333e-06,6.83e-05,25559534.56
1.12e-05,0.0003889991,2.933333e-06,7.25e-05,29063403.55
1.12e-05,0.0003889991,2.933333e-06,7.68e-05,32282391.57
1.12e-05,0.0003889991,2.933333e-06,8.11e-05,35254980.43
1.12e-05,0.0003889991,2.933333e-06,8.53e-05,39762810.98
1.12e-05,0.0003889991,2.933333e-06,8.96e-05,44851210.77
1.12e-05,0.0003889991,3.2e-06,3.84e-05,12032435.71
1.12e-05,0.0003889991,3.2e-06,4.27e-05,13673943.46
1.12e-05,0.0003889991,3.2e-06,4.69e-05,15052682.72
1.12e-05,0.0003889991,3.2e-06,5.12e-05,16733109.05
1.12e-05,0.0003889991,3.2e-06,5.55e-05,19117224.84
1.12e-05,0.0003889991,3.2e-06,5.97e-05,21239853.31
1.12e-05,0.0003889991,3.2e-06,6.4e-05,23144088.89
1.12e-05,0.0003889991,3.2e-06,6.83e-05,26042203.11
1.12e-05,0.0003889991,3.2e-06,7.25e-05,29719308.73
1.12e-05,0.0003889991,3.2e-06,7.68e-05,33115121.34
1.12e-05,0.0003889991,3.2e-06,8.11e-05,36235975.1
1.12e-05,0.0003889991,3.2e-06,8.53e-05,41994349.87
1.12e-05,0.0003889991,3.2e-06,8.96e-05,47315657.47
1.12e-05,0.0003889991,3.466667e-06,3.84e-05,4298576.738
1.12e-05,0.0003889991,3.466667e-06,4.27e-05,4813960.527
1.12e-05,0.0003889991,3.466667e-06,4.69e-05,5445145.962
1.12e-05,0.0003889991,3.466667e-06,5.12e-05,5961230.578
1.12e-05,0.0003889991,3.466667e-06,5.55e-05,6393476.627
1.12e-05,0.0003889991,3.466667e-06,5.97e-05,6761648.604
1.12e-05,0.0003889991,3.466667e-06,6.4e-05,7267658.04
1.12e-05,0.0003889991,3.466667e-06,6.83e-05,7867226.151
1.12e-05,0.0003889991,3.466667e-06,7.25e-05,8397828.55
1.12e-05,0.0003889991,3.466667e-06,7.68e-05,8871926.832
1.12e-05,0.0003889991,3.466667e-06,8.11e-05,9298941.568
1.12e-05,0.0003889991,3.466667e-06,8.53e-05,9686156.85
1.12e-05,0.0003889991,3.466667e-06,8.96e-05,10039322.34
1.12e-05,0.0003889991,3.733333e-06,3.84e-05,4098456.556
1.12e-05,0.0003889991,3.733333e-06,4.27e-05,4527352.833
1.12e-05,0.0003889991,3.733333e-06,4.69e-05,5165274.013
1.12e-05,0.0003889991,3.733333e-06,5.12e-05,5721507.338
1.12e-05,0.0003889991,3.733333e-06,5.55e-05,6186475.671
1.12e-05,0.0003889991,3.733333e-06,5.97e-05,6582343.708
1.12e-05,0.0003889991,3.733333e-06,6.4e-05,6930894.335
1.12e-05,0.0003889991,3.733333e-06,6.83e-05,7569831.24
1.12e-05,0.0003889991,3.733333e-06,7.25e-05,8134681.928
1.12e-05,0.0003889991,3.733333e-06,7.68e-05,8638780.815
1.12e-05,0.0003889991,3.733333e-06,8.11e-05,9092287.282
1.12e-05,0.0003889991,3.733333e-06,8.53e-05,9503059.45
1.12e-05,0.0003889991,3.733333e-06,8.96e-05,9877300.977
1.12e-05,0.0003889991,4.8e-06,3.84e-05,3797232.465
1.12e-05,0.0003889991,4.8e-06,4.27e-05,4279078.606
1.12e-05,0.0003889991,4.8e-06,4.69e-05,4750851.256
1.12e-05,0.0003889991,4.8e-06,5.12e-05,5364334.87
1.12e-05,0.0003889991,4.8e-06,5.55e-05,5876288.822
