a,b,c,d,pm
1.12e-05,0.0003889991,2.666667e-06,8.96e-05,93.53705947
1.12e-05,0.0003889991,2.933333e-06,3.84e-05,90.66058642
1.12e-05,0.0003889991,2.933333e-06,4.27e-05,91.77841235
1.12e-05,0.0003889991,2.933333e-06,4.69e-05,92.83093026
1.12e-05,0.0003889991,2.933333e-06,5.12e-05,93.94818679
1.12e-05,0.0003889991,2.933333e-06,5.55e-05,95.10544566
1.12e-05,0.0003889991,2.933333e-06,5.97e-05,96.12858503
1.12e-05,0.0003889991,2.933333e-06,6.4e-05,97.05017225
1.12e-05,0.0003889991,2.933333e-06,6.83e-05,97.67441612
1.12e-05,0.0003889991,2.933333e-06,7.25e-05,97.80314963
1.12e-05,0.0003889991,2.933333e-06,7.68e-05,97.70021789
1.12e-05,0.0003889991,2.933333e-06,8.11e-05,97.38108953
1.12e-05,0.0003889991,2.933333e-06,8.53e-05,96.07730002
1.12e-05,0.0003889991,2.933333e-06,8.96e-05,93.99876887
1.12e-05,0.0003889991,3.2e-06,3.84e-05,92.74163207
1.12e-05,0.0003889991,3.2e-06,4.27e-05,93.7990804
1.12e-05,0.0003889991,3.2e-06,4.69e-05,94.79809597
1.12e-05,0.0003889991,3.2e-06,5.12e-05,95.85568666
1.12e-05,0.0003889991,3.2e-06,5.55e-05,96.98806159
1.12e-05,0.0003889991,3.2e-06,5.97e-05,97.99823204
1.12e-05,0.0003889991,3.2e-06,6.4e-05,98.91224882
1.12e-05,0.0003889991,3.2e-06,6.83e-05,99.45266208
1.12e-05,0.0003889991,3.2e-06,7.25e-05,99.51380845
1.12e-05,0.0003889991,3.2e-06,7.68e-05,99.31975207
1.12e-05,0.0003889991,3.2e-06,8.11e-05,98.91070001
1.12e-05,0.0003889991,3.2e-06,8.53e-05,96.91240408
1.12e-05,0.0003889991,3.2e-06,8.96e-05,94.47301316
1.12e-05,0.0003889991,3.466667e-06,3.84e-05,87.57640245
1.12e-05,0.0003889991,3.466667e-06,4.27e-05,85.1921232
1.12e-05,0.0003889991,3.466667e-06,4.69e-05,84.045465
1.12e-05,0.0003889991,3.466667e-06,5.12e-05,83.01597135
1.12e-05,0.0003889991,3.466667e-06,5.55e-05,82.0709095
1.12e-05,0.0003889991,3.466667e-06,5.97e-05,81.19801809
1.12e-05,0.0003889991,3.466667e-06,6.4e-05,80.7534666
1.12e-05,0.0003889991,3.466667e-06,6.83e-05,80.66561471
1.12e-05,0.0003889991,3.466667e-06,7.25e-05,80.57466439
1.12e-05,0.0003889991,3.466667e-06,7.68e-05,80.47976741
1.12e-05,0.0003889991,3.466667e-06,8.11e-05,80.38105193
1.12e-05,0.0003889991,3.466667e-06,8.53e-05,80.27920785
1.12e-05,0.0003889991,3.466667e-06,8.96e-05,80.17519421
1.12e-05,0.0003889991,3.733333e-06,3.84e-05,92.38697392
1.12e-05,0.0003889991,3.733333e-06,4.27e-05,89.32509429
1.12e-05,0.0003889991,3.733333e-06,4.69e-05,87.9256497
1.12e-05,0.0003889991,3.733333e-06,5.12e-05,86.82149608
1.12e-05,0.0003889991,3.733333e-06,5.55e-05,85.79871707
1.12e-05,0.0003889991,3.733333e-06,5.97e-05,84.84130626
1.12e-05,0.0003889991,3.733333e-06,6.4e-05,83.95259816
1.12e-05,0.0003889991,3.733333e-06,6.83e-05,83.82171924
1.12e-05,0.0003889991,3.733333e-06,7.25e-05,83.68801712
1.12e-05,0.0003889991,3.733333e-06,7.68e-05,83.55115547
1.12e-05,0.0003889991,3.733333e-06,8.11e-05,83.41131743
1.12e-05,0.0003889991,3.733333e-06,8.53e-05,83.26917999
1.12e-05,0.0003889991,3.733333e-06,8.96e-05,83.1256544
1.12e-05,0.0003889991,4.8e-06,3.84e-05,98.59238096
1.12e-05,0.0003889991,4.8e-06,4.27e-05,95.36528715
1.12e-05,0.0003889991,4.8e-06,4.69e-05,92.8346616
1.12e-05,0.0003889991,4.8e-06,5.12e-05,91.6569821
1.12e-05,0.0003889991,4.8e-06,5.55e-05,90.55248151
1.12e-05,0.0003889991,4.8e-06,5.97e-05,89.50760153
1.12e-05,0.0003889991,4.8e-06,6.4e-05,88.5141036
1.12e-05,0.0003889991,4.8e-06,6.83e-05,87.79864804
1.12e-05,0.0003889991,4.8e-06,7.25e-05,87.61726655
1.12e-05,0.0003889991,4.8e-06,7.68e-05,87.43301896
1.12e-05,0.0003889991,4.8e-06,8.11e-05,87.2462073
1.12e-05,0.0003889991,4.8e-06,8.53e-05,87.05752603
1.12e-05,0.0003889991,4.8e-06,8.96e-05,86.86785829
1.12e-05,0.0003889991,4.266667e-06,3.84e-05,95.88644117
1.12e-05,0.0003889991,4.266667e-06,4.27e-05,92.72260373
1.12e-05,0.0003889991,4.266667e-06,4.69e-05,90.705909
1.12e-05,0.0003889991,4.266667e-06,5.12e-05,89.55738003
1.12e-05,0.0003889991,4.266667e-06,5.55e-05,88.48605221
1.12e-05,0.0003889991,4.266667e-06,5.97e-05,87.47715163
1.12e-05,0.0003889991,4.266667e-06,6.4e-05,86.52143655
1.12e-05,0.0003889991,4.266667e-06,6.83e-05,86.07616791
1.12e-05,0.0003889991,4.266667e-06,7.25e-05,85.91471824
1.12e-05,0.0003889991,4.266667e-06,7.68e-05,85.75034976
1.12e-05,0.0003889991,4.266667e-06,8.11e-05,85.58330575
1.12e-05,0.0003889991,4.266667e-06,8.53e-05,85.41427298
1.12e-05,0.0003889991,4.266667e-06,8.96e-05,85.24414612
1.12e-05,0.0003889991,4.533333e-06,3.84e-05,100.0932254
1.12e-05,0.0003889991,4.533333e-06,4.27e-05,96.83189532
1.12e-05,0.0003889991,4.533333e-06,4.69e-05,94.00829835
1.12e-05,0.0003889991,4.533333e-06,5.12e-05,92.81621881
1.12e-05,0.0003889991,4.533333e-06,5.55e-05,91.69486526
1.12e-05,0.0003889991,4.533333e-06,5.97e-05,90.63138046
1.12e-05,0.0003889991,4.533333e-06,6.4e-05,89.61812661
1.12e-05,0.0003889991,4.533333e-06,6.83e-05,88.7428546
1.12e-05,0.0003889991,4.533333e-06,7.25e-05,88.55530353
1.12e-05,0.0003889991,4.533333e-06,7.68e-05,88.36039864
1.12e-05,0.0003889991,4.533333e-06,8.11e-05,88.16297915
1.12e-05,0.0003889991,4.533333e-06,8.53e-05,87.96373156
1.12e-05,0.0003889991,4.533333e-06,8.96e-05,87.76352915
1.12e-05,0.0003889991,4e-06,3.84e-05,98.16592666
1.12e-05,0.0003889991,4e-06,4.27e-05,93.15253744
1.12e-05,0.0003889991,4e-06,4.69e-05,88.78299492
1.12e-05,0.0003889991,4e-06,5.12e-05,85.95829176
1.12e-05,0.0003889991,4e-06,5.55e-05,83.07460405
1.12e-05,0.0003889991,4e-06,5.97e-05,79.49781215
1.12e-05,0.0003889991,4e-06,6.4e-05,75.37393662
1.12e-05,0.0003889991,4e-06,6.83e-05,71.27119955
1.12e-05,0.0003889991,4e-06,7.25e-05,67.59784827
1.12e-05,0.0003889991,4e-06,7.68e-05,64.44739779
1.12e-05,0.0003889991,4e-06,8.11e-05,61.76646528
1.12e-05,0.0003889991,4e-06,8.53e-05,59.47182325
1.12e-05,0.0003889991,4e-06,8.96e-05,57.53237701
1.12e-05,0.0003889991,5.6e-06,3.84e-05,98.03062799
1.12e-05,0.0003889991,5.6e-06,4.27e-05,92.21616445
1.12e-05,0.0003889991,5.6e-06,4.69e-05,87.7588354
1.12e-05,0.0003889991,5.6e-06,5.12e-05,84.84653188
1.12e-05,0.0003889991,5.6e-06,5.55e-05,81.75252802
1.12e-05,0.0003889991,5.6e-06,5.97e-05,78.10639412
1.12e-05,0.0003889991,5.6e-06,6.4e-05,74.05492799
1.12e-05,0.0003889991,5.6e-06,6.83e-05,70.08274105
1.12e-05,0.0003889991,5.6e-06,7.25e-05,66.52775562
1.12e-05,0.0003889991,5.6e-06,7.68e-05,63.48428154
1.12e-05,0.0003889991,5.6e-06,8.11e-05,61.23016211
1.12e-05,0.0003889991,5.6e-06,8.53e-05,59.26926838
1.12e-05,0.0003889991,5.6e-06,8.96e-05,57.55516065
1.12e-05,0.0003889991,5.066667e-06,3.84e-05,97.78886697
1.12e-05,0.0003889991,5.066667e-06,4.27e-05,91.34619205
1.12e-05,0.0003889991,5.066667e-06,4.69e-05,86.98666746
1.12e-05,0.0003889991,5.066667e-06,5.12e-05,83.84431891
1.12e-05,0.0003889991,5.066667e-06,5.55e-05,80.5799151
1.12e-05,0.0003889991,5.066667e-06,5.97e-05,76.87388875
1.12e-05,0.0003889991,5.066667e-06,6.4e-05,72.87414378
1.12e-05,0.0003889991,5.066667e-06,6.83e-05,69.00162674
1.12e-05,0.0003889991,5.066667e-06,7.25e-05,65.88242272
1.12e-05,0.0003889991,5.066667e-06,7.68e-05,63.3310452
1.12e-05,0.0003889991,5.066667e-06,8.11e-05,61.1027662
1.12e-05,0.0003889991,5.066667e-06,8.53e-05,59.15981609
1.12e-05,0.0003889991,5.066667e-06,8.96e-05,57.45821206
1.12e-05,0.0003889991,5.333333e-06,3.84e-05,97.60148024
1.12e-05,0.0003889991,5.333333e-06,4.27e-05,90.80717661
1.12e-05,0.0003889991,5.333333e-06,4.69e-05,86.50484199
1.12e-05,0.0003889991,5.333333e-06,5.12e-05,83.23141725
1.12e-05,0.0003889991,5.333333e-06,5.55e-05,79.86968138
1.12e-05,0.0003889991,5.333333e-06,5.97e-05,76.12829144
1.12e-05,0.0003889991,5.333333e-06,6.4e-05,72.15557775
1.12e-05,0.0003889991,5.333333e-06,6.83e-05,68.5792748
1.12e-05,0.0003889991,5.333333e-06,7.25e-05,65.73365143
1.12e-05,0.0003889991,5.333333e-06,7.68e-05,63.20122675
1.12e-05,0.0003889991,5.333333e-06,8.11e-05,60.98623078
1.12e-05,0.0003889991,5.333333e-06,8.53e-05,59.05229862
1.12e-05,0.0003889991,5.333333e-06,8.96e-05,57.35678244
1.12e-05,4.48e-05,5.333333e-06,3.84e-05,85.4617296
1.12e-05,4.48e-05,5.333333e-06,4.27e-05,86.73811106
1.12e-05,4.48e-05,5.333333e-06,4.69e-05,87.9245669
1.12e-05,4.48e-05,5.333333e-06,5.12e-05,89.23373649
1.12e-05,4.48e-05,5.333333e-06,5.55e-05,90.4860551
1.12e-05,4.48e-05,5.333333e-06,5.97e-05,91.57731803
1.12e-05,4.48e-05,5.333333e-06,6.4e-05,92.553555
1.12e-05,4.48e-05,5.333333e-06,6.83e-05,93.34771939
1.12e-05,4.48e-05,5.333333e-06,7.25e-05,93.67188602
1.12e-05,4.48e-05,5.333333e-06,7.68e-05,93.76464879
1.12e-05,4.48e-05,5.333333e-06,8.11e-05,93.64972031
1.12e-05,4.48e-05,5.333333e-06,8.53e-05,93.34683582
1.12e-05,4.48e-05,5.333333e-06,8.96e-05,92.17075301
1.12e-05,4.48e-05,2.4e-06,3.84e-05,86.46879067
1.12e-05,4.48e-05,2.4e-06,4.27e-05,87.71626081
1.12e-05,4.48e-05,2.4e-06,4.69e-05,88.8756161
1.12e-05,4.48e-05,2.4e-06,5.12e-05,90.15327269
1.12e-05,4.48e-05,2.4e-06,5.55e-05,91.38368429
1.12e-05,4.48e-05,2.4e-06,5.97e-05,92.45926668
1.12e-05,4.48e-05,2.4e-06,6.4e-05,93.42446186
1.12e-05,4.48e-05,2.4e-06,6.83e-05,94.17105502
1.12e-05,4.48e-05,2.4e-06,7.25e-05,94.44933082
1.12e-05,4.48e-05,2.4e-06,7.68e-05,94.49654212
1.12e-05,4.48e-05,2.4e-06,8.11e-05,94.3351245
1.12e-05,4.48e-05,2.4e-06,8.53e-05,93.98166138
1.12e-05,4.48e-05,2.4e-06,8.96e-05,92.49846665
1.12e-05,4.48e-05,2.666667e-06,3.84e-05,88.84203995
1.12e-05,4.48e-05,2.666667e-06,4.27e-05,90.01619909
1.12e-05,4.48e-05,2.666667e-06,4.69e-05,91.11840582
1.12e-05,4.48e-05,2.666667e-06,5.12e-05,92.31894171
1.12e-05,4.48e-05,2.666667e-06,5.55e-05,93.50306394
1.12e-05,4.48e-05,2.666667e-06,5.97e-05,94.54782534
1.12e-05,4.48e-05,2.666667e-06,6.4e-05,95.48374416
1.12e-05,4.48e-05,2.666667e-06,6.83e-05,96.12571547
1.12e-05,4.48e-05,2.666667e-06,7.25e-05,96.30360702
1.12e-05,4.48e-05,2.666667e-06,7.68e-05,96.24997013
1.12e-05,4.48e-05,2.666667e-06,8.11e-05,95.98374947
1.12e-05,4.48e-05,2.666667e-06,8.53e-05,95.03165419
1.12e-05,4.48e-05,2.666667e-06,8.96e-05,93.17973271
1.12e-05,4.48e-05,2.933333e-06,3.84e-05,90.57808258
1.12e-05,4.48e-05,2.933333e-06,4.27e-05,91.70317708
1.12e-05,4.48e-05,2.933333e-06,4.69e-05,92.75345811
1.12e-05,4.48e-05,2.933333e-06,5.12e-05,93.90642244
1.12e-05,4.48e-05,2.933333e-06,5.55e-05,95.06479873
1.12e-05,4.48e-05,2.933333e-06,5.97e-05,96.09229841
1.12e-05,4.48e-05,2.933333e-06,6.4e-05,97.01661117
1.12e-05,4.48e-05,2.933333e-06,6.83e-05,97.57891304
1.12e-05,4.48e-05,2.933333e-06,7.25e-05,97.69065576
1.12e-05,4.48e-05,2.933333e-06,7.68e-05,97.56949173
1.12e-05,4.48e-05,2.933333e-06,8.11e-05,97.23121187
1.12e-05,4.48e-05,2.933333e-06,8.53e-05,95.75978566
1.12e-05,4.48e-05,2.933333e-06,8.96e-05,93.61828784
1.12e-05,4.48e-05,3.2e-06,3.84e-05,92.67144355
1.12e-05,4.48e-05,3.2e-06,4.27e-05,93.73363401
1.12e-05,4.48e-05,3.2e-06,4.69e-05,94.73785669
1.12e-05,4.48e-05,3.2e-06,5.12e-05,95.82771005
1.12e-05,4.48e-05,3.2e-06,5.55e-05,96.96099054
1.12e-05,4.48e-05,3.2e-06,5.97e-05,97.97380757
1.12e-05,4.48e-05,3.2e-06,6.4e-05,98.89064592
