a,b,c,d,gain
1.12e-05,0.0003889991,2.4e-06,8.96e-05,31.78021907
1.12e-05,0.0003889991,2.666667e-06,3.84e-05,18.26753876
1.12e-05,0.0003889991,2.666667e-06,4.27e-05,19.55081398
1.12e-05,0.0003889991,2.666667e-06,4.69e-05,20.751949
1.12e-05,0.0003889991,2.666667e-06,5.12e-05,21.89194088
1.12e-05,0.0003889991,2.666667e-06,5.55e-05,22.98619924
1.12e-05,0.0003889991,2.666667e-06,5.97e-05,24.04781074
1.12e-05,0.0003889991,2.666667e-06,6.4e-05,25.09069906
1.12e-05,0.0003889991,2.666667e-06,6.83e-05,26.12334128
1.12e-05,0.0003889991,2.666667e-06,7.25e-05,27.15663164
1.12e-05,0.0003889991,2.666667e-06,7.68e-05,28.20129617
1.12e-05,0.0003889991,2.666667e-06,8.11e-05,29.26902616
1.12e-05,0.0003889991,2.666667e-06,8.53e-05,30.3713072
1.12e-05,0.0003889991,2.666667e-06,8.96e-05,31.53316181
1.12e-05,0.0003889991,2.933333e-06,3.84e-05,17.80242725
1.12e-05,0.0003889991,2.933333e-06,4.27e-05,19.09032604
1.12e-05,0.0003889991,2.933333e-06,4.69e-05,20.29568577
1.12e-05,0.0003889991,2.933333e-06,5.12e-05,21.44346297
1.12e-05,0.0003889991,2.933333e-06,5.55e-05,22.54500957
1.12e-05,0.0003889991,2.933333e-06,5.97e-05,23.61873895
1.12e-05,0.0003889991,2.933333e-06,6.4e-05,24.67279067
1.12e-05,0.0003889991,2.933333e-06,6.83e-05,25.71816438
1.12e-05,0.0003889991,2.933333e-06,7.25e-05,26.76583148
1.12e-05,0.0003889991,2.933333e-06,7.68e-05,27.82715695
1.12e-05,0.0003889991,2.933333e-06,8.11e-05,28.91488791
1.12e-05,0.0003889991,2.933333e-06,8.53e-05,30.05316765
1.12e-05,0.0003889991,2.933333e-06,8.96e-05,31.23957776
1.12e-05,0.0003889991,3.2e-06,3.84e-05,17.21991859
1.12e-05,0.0003889991,3.2e-06,4.27e-05,18.5156926
1.12e-05,0.0003889991,3.2e-06,4.69e-05,19.7312926
1.12e-05,0.0003889991,3.2e-06,5.12e-05,20.88759195
1.12e-05,0.0003889991,3.2e-06,5.55e-05,22.00019309
1.12e-05,0.0003889991,3.2e-06,5.97e-05,23.085352
1.12e-05,0.0003889991,3.2e-06,6.4e-05,24.15422605
1.12e-05,0.0003889991,3.2e-06,6.83e-05,25.21639253
1.12e-05,0.0003889991,3.2e-06,7.25e-05,26.28211835
1.12e-05,0.0003889991,3.2e-06,7.68e-05,27.37552027
1.12e-05,0.0003889991,3.2e-06,8.11e-05,28.49491027
1.12e-05,0.0003889991,3.2e-06,8.53e-05,29.66017007
1.12e-05,0.0003889991,3.2e-06,8.96e-05,30.88815395
1.12e-05,0.0003889991,3.466667e-06,3.84e-05,8.852613497
1.12e-05,0.0003889991,3.466667e-06,4.27e-05,9.941276275
1.12e-05,0.0003889991,3.466667e-06,4.69e-05,10.92563661
1.12e-05,0.0003889991,3.466667e-06,5.12e-05,11.82568473
1.12e-05,0.0003889991,3.466667e-06,5.55e-05,12.65653628
1.12e-05,0.0003889991,3.466667e-06,5.97e-05,13.42830987
1.12e-05,0.0003889991,3.466667e-06,6.4e-05,14.15234143
1.12e-05,0.0003889991,3.466667e-06,6.83e-05,14.83310253
1.12e-05,0.0003889991,3.466667e-06,7.25e-05,15.47710102
1.12e-05,0.0003889991,3.466667e-06,7.68e-05,16.0889544
1.12e-05,0.0003889991,3.466667e-06,8.11e-05,16.67251761
1.12e-05,0.0003889991,3.466667e-06,8.53e-05,17.2310332
1.12e-05,0.0003889991,3.466667e-06,8.96e-05,17.76725693
1.12e-05,0.0003889991,3.733333e-06,3.84e-05,8.15475682
1.12e-05,0.0003889991,3.733333e-06,4.27e-05,9.243567312
1.12e-05,0.0003889991,3.733333e-06,4.69e-05,10.22857784
1.12e-05,0.0003889991,3.733333e-06,5.12e-05,11.12957368
1.12e-05,0.0003889991,3.733333e-06,5.55e-05,11.96132423
1.12e-05,0.0003889991,3.733333e-06,5.97e-05,12.7350831
1.12e-05,0.0003889991,3.733333e-06,6.4e-05,13.45955139
1.12e-05,0.0003889991,3.733333e-06,6.83e-05,14.14166172
1.12e-05,0.0003889991,3.733333e-06,7.25e-05,14.78721977
1.12e-05,0.0003889991,3.733333e-06,7.68e-05,15.400743
1.12e-05,0.0003889991,3.733333e-06,8.11e-05,15.98608626
1.12e-05,0.0003889991,3.733333e-06,8.53e-05,16.54649286
1.12e-05,0.0003889991,3.733333e-06,8.96e-05,17.08472007
1.12e-05,0.0003889991,4.8e-06,3.84e-05,7.218079074
1.12e-05,0.0003889991,4.8e-06,4.27e-05,8.307223505
1.12e-05,0.0003889991,4.8e-06,4.69e-05,9.293887457
1.12e-05,0.0003889991,4.8e-06,5.12e-05,10.19634979
1.12e-05,0.0003889991,4.8e-06,5.55e-05,11.02975682
1.12e-05,0.0003889991,4.8e-06,5.97e-05,11.80538756
1.12e-05,0.0003889991,4.8e-06,6.4e-05,12.53184354
1.12e-05,0.0003889991,4.8e-06,6.83e-05,13.2154938
1.12e-05,0.0003889991,4.8e-06,7.25e-05,13.86367142
1.12e-05,0.0003889991,4.8e-06,7.68e-05,14.47992736
1.12e-05,0.0003889991,4.8e-06,8.11e-05,15.06812431
1.12e-05,0.0003889991,4.8e-06,8.53e-05,15.63151633
1.12e-05,0.0003889991,4.8e-06,8.96e-05,16.17287033
1.12e-05,0.0003889991,4.266667e-06,3.84e-05,7.631782556
1.12e-05,0.0003889991,4.266667e-06,4.27e-05,8.720887969
1.12e-05,0.0003889991,4.266667e-06,4.69e-05,9.706621508
1.12e-05,0.0003889991,4.266667e-06,5.12e-05,10.60840003
1.12e-05,0.0003889991,4.266667e-06,5.55e-05,11.44102083
1.12e-05,0.0003889991,4.266667e-06,5.97e-05,12.21577735
1.12e-05,0.0003889991,4.266667e-06,6.4e-05,12.94131946
