PMOS_W,NMOS_W,Gain
1.6e-05,6.5e-06,19.2
1.65e-05,6.5e-06,19.37
1.7e-05,6.5e-06,19.51
1.75e-05,6.5e-06,19.65
1.8e-05,6.5e-06,19.76
1.85e-05,6.5e-06,19.87
1.9e-05,6.5e-06,19.95
1.95e-05,6.5e-06,20.03
2e-05,6.5e-06,20.09
3.5e-06,7e-06,-9.761
4e-06,7e-06,-8.087
4.5e-06,7e-06,-6.502
3e-06,7e-06,-11.57
5e-06,7e-06,-4.953
2.5e-06,7e-06,-13.58
5.5e-06,7e-06,-3.419
6e-06,7e-06,-1.866
2e-06,7e-06,-15.9
6.5e-06,7e-06,-0.262
7e-06,7e-06,1.433
7.5e-06,7e-06,3.264
1.5e-06,7e-06,-18.76
8e-06,7e-06,5.278
8.5e-06,7e-06,7.512
9e-06,7e-06,9.932
9.5e-06,7e-06,12.31
1.05e-05,7e-06,13.39
1e-05,7e-06,14.24
1.1e-05,7e-06,14.88
1.15e-05,7e-06,15.85
1.2e-05,7e-06,16.48
1.25e-05,7e-06,16.93
1e-06,7e-06,-22.6
1.3e-05,7e-06,17.29
1.35e-05,7e-06,17.6
1.4e-05,7e-06,17.88
1.45e-05,7e-06,18.13
1.5e-05,7e-06,18.36
1.55e-05,7e-06,18.58
1.6e-05,7e-06,18.78
1.65e-05,7e-06,18.97
1.7e-05,7e-06,19.14
1.75e-05,7e-06,19.3
1.8e-05,7e-06,19.44
1.85e-05,7e-06,19.58
1.9e-05,7e-06,19.69
1.95e-05,7e-06,19.8
2e-05,7e-06,19.89
3.5e-06,7.5e-06,-10.56
4e-06,7.5e-06,-8.94
4.5e-06,7.5e-06,-7.423
3e-06,7.5e-06,-12.33
5e-06,7.5e-06,-5.949
2.5e-06,7.5e-06,-14.29
5.5e-06,7.5e-06,-4.507
6e-06,7.5e-06,-3.07
2e-06,7.5e-06,-16.58
6.5e-06,7.5e-06,-1.61
7e-06,7.5e-06,-0.0996
7.5e-06,7.5e-06,1.494
1.5e-06,7.5e-06,-19.4
8e-06,7.5e-06,3.208
8.5e-06,7.5e-06,5.081
9e-06,7.5e-06,7.149
9.5e-06,7.5e-06,9.388
1.05e-05,7.5e-06,10.59
1e-05,7.5e-06,11.66
1.1e-05,7.5e-06,12.6
1.15e-05,7.5e-06,14.23
1.2e-05,7.5e-06,15.37
1.25e-05,7.5e-06,16.12
1e-06,7.5e-06,-23.22
1.3e-05,7.5e-06,16.64
1.35e-05,7.5e-06,17.03
1.4e-05,7.5e-06,17.36
1.45e-05,7.5e-06,17.64
1.5e-05,7.5e-06,17.89
1.55e-05,7.5e-06,18.13
1.6e-05,7.5e-06,18.35
1.65e-05,7.5e-06,18.55
1.7e-05,7.5e-06,18.74
1.75e-05,7.5e-06,18.92
1.8e-05,7.5e-06,19.09
1.85e-05,7.5e-06,19.24
1.9e-05,7.5e-06,19.38
1.95e-05,7.5e-06,19.51
2e-05,7.5e-06,19.63
3.5e-06,8e-06,-11.29
4e-06,8e-06,-9.713
4.5e-06,8e-06,-8.239
3e-06,8e-06,-13.02
5e-06,8e-06,-6.837
2.5e-06,8e-06,-14.95
5.5e-06,8e-06,-5.466
6e-06,8e-06,-4.115
2e-06,8e-06,-17.2
6.5e-06,8e-06,-2.762
7e-06,8e-06,-1.383
7.5e-06,8e-06,0.0442
1.5e-06,8e-06,-20.01
8e-06,8e-06,1.548
8.5e-06,8e-06,3.159
9e-06,8e-06,4.91
9.5e-06,8e-06,6.83
1.05e-05,8e-06,7.902
1e-05,8e-06,8.911
1.1e-05,8e-06,9.884
1.15e-05,8e-06,11.84
1.2e-05,8e-06,13.55
1.25e-05,8e-06,14.85
1e-06,8e-06,-23.8
1.3e-05,8e-06,15.73
1.35e-05,8e-06,16.33
1.4e-05,8e-06,16.77
1.45e-05,8e-06,17.12
1.5e-05,8e-06,17.41
1.55e-05,8e-06,17.67
1.6e-05,8e-06,17.91
1.65e-05,8e-06,18.13
1.7e-05,8e-06,18.34
1.75e-05,8e-06,18.53
1.8e-05,8e-06,18.71
1.85e-05,8e-06,18.88
1.9e-05,8e-06,19.04
1.95e-05,8e-06,19.18
2e-05,8e-06,19.32
3.5e-06,8.5e-06,-11.97
4e-06,8.5e-06,-10.42
4.5e-06,8.5e-06,-8.988
3e-06,8.5e-06,-13.65
5e-06,8.5e-06,-7.639
2.5e-06,8.5e-06,-15.56
5.5e-06,8.5e-06,-6.324
6e-06,8.5e-06,-5.04
2e-06,8.5e-06,-17.79
6.5e-06,8.5e-06,-3.767
7e-06,8.5e-06,-2.488
7.5e-06,8.5e-06,-1.181
1.5e-06,8.5e-06,-20.57
8e-06,8.5e-06,0.172
8.5e-06,8.5e-06,1.596
9e-06,8.5e-06,3.116
9.5e-06,8.5e-06,4.76
1.05e-05,8.5e-06,5.681
1e-05,8.5e-06,6.551
1.1e-05,8.5e-06,7.398
1.15e-05,8.5e-06,9.254
1.2e-05,8.5e-06,11.13
1.25e-05,8.5e-06,12.86
1e-06,8.5e-06,-24.34
1.3e-05,8.5e-06,14.28
1.35e-05,8.5e-06,15.3
1.4e-05,8.5e-06,16.0
1.45e-05,8.5e-06,16.5
