W,X,Y,UGF
4.98E-05,2.40E-06,7.64E-06,131669790.8
4.98E-05,2.40E-06,8.36E-06,133085502
4.98E-05,2.40E-06,9.07E-06,134302902.9
4.98E-05,2.40E-06,9.78E-06,135361629.6
4.98E-05,2.76E-06,1.12E-05,142504057.9
4.98E-05,2.76E-06,1.05E-05,141545333.2
4.98E-05,2.76E-06,4.80E-06,126076242.8
4.98E-05,2.76E-06,5.51E-06,129119900.1
4.98E-05,2.76E-06,6.22E-06,131540739
4.98E-05,2.76E-06,6.93E-06,133517809.6
4.98E-05,2.76E-06,7.64E-06,135166290.7
4.98E-05,2.76E-06,8.36E-06,136563846.6
4.98E-05,2.76E-06,9.07E-06,137764875.2
4.98E-05,2.76E-06,9.78E-06,138808693.5
4.98E-05,3.11E-06,1.12E-05,145372462.6
4.98E-05,3.11E-06,1.05E-05,144427275.1
4.98E-05,3.11E-06,4.80E-06,129093629.2
4.98E-05,3.11E-06,5.51E-06,132112279.1
4.98E-05,3.11E-06,6.22E-06,134511957.2
4.98E-05,3.11E-06,6.93E-06,136470704.1
4.98E-05,3.11E-06,7.64E-06,138103029.6
4.98E-05,3.11E-06,8.36E-06,139486135.2
4.98E-05,3.11E-06,9.07E-06,140674087.6
4.98E-05,3.11E-06,9.78E-06,141705959.1
4.98E-05,3.47E-06,1.12E-05,147838906.4
4.98E-05,3.47E-06,1.05E-05,146904964.9
4.98E-05,3.47E-06,4.80E-06,131679237.6
4.98E-05,3.47E-06,5.51E-06,134677792.2
4.98E-05,3.47E-06,6.22E-06,137060389.1
4.98E-05,3.47E-06,6.93E-06,139004283.7
4.98E-05,3.47E-06,7.64E-06,140623463.8
4.98E-05,3.47E-06,8.36E-06,141994769
4.98E-05,3.47E-06,9.07E-06,143172006.6
4.98E-05,3.47E-06,9.78E-06,144194057.1
4.98E-05,3.82E-06,1.12E-05,149995556.4
4.98E-05,3.82E-06,1.05E-05,149071145.1
4.98E-05,3.82E-06,4.80E-06,133933278.3
4.98E-05,3.82E-06,5.51E-06,136915351
4.98E-05,3.82E-06,6.22E-06,139283873.3
4.98E-05,3.82E-06,6.93E-06,141215478.4
4.98E-05,3.82E-06,7.64E-06,142823739.4
