W,X,Y,Phase Margin 
4.41E-05,4.53E-06,9.78E-06,63.81836059
4.41E-05,4.89E-06,1.12E-05,61.9541054
4.41E-05,4.89E-06,1.05E-05,62.46813696
4.41E-05,4.89E-06,4.80E-06,68.63506277
4.41E-05,4.89E-06,5.51E-06,67.67825021
4.41E-05,4.89E-06,6.22E-06,66.84437827
4.41E-05,4.89E-06,6.93E-06,66.10358286
4.41E-05,4.89E-06,7.64E-06,65.43528664
4.41E-05,4.89E-06,8.36E-06,64.8248054
4.41E-05,4.89E-06,9.07E-06,64.26135241
4.41E-05,4.89E-06,9.78E-06,63.73680841
4.41E-05,5.60E-06,1.12E-05,61.70406451
4.41E-05,5.60E-06,1.05E-05,62.23821961
4.41E-05,5.60E-06,4.80E-06,68.67067659
4.41E-05,5.60E-06,5.51E-06,67.66773236
4.41E-05,5.60E-06,6.22E-06,66.7948717
4.41E-05,5.60E-06,6.93E-06,66.02050091
4.41E-05,5.60E-06,7.64E-06,65.32284299
4.41E-05,5.60E-06,8.36E-06,64.68635383
4.41E-05,5.60E-06,9.07E-06,64.09961313
4.41E-05,5.60E-06,9.78E-06,63.55402385
4.41E-05,5.24E-06,1.12E-05,61.83072538
4.41E-05,5.24E-06,1.05E-05,62.35513339
4.41E-05,5.24E-06,4.80E-06,68.65869491
4.41E-05,5.24E-06,5.51E-06,67.67815398
4.41E-05,5.24E-06,6.22E-06,66.82422321
4.41E-05,5.24E-06,6.93E-06,66.06615034
4.41E-05,5.24E-06,7.64E-06,65.38274196
4.41E-05,5.24E-06,8.36E-06,64.75887226
4.41E-05,5.24E-06,9.07E-06,64.18342908
4.41E-05,5.24E-06,9.78E-06,63.64804776
4.98E-05,2.40E-06,1.12E-05,59.01927954
4.98E-05,2.40E-06,1.05E-05,59.43011894
4.98E-05,2.40E-06,4.80E-06,64.1201161
4.98E-05,2.40E-06,5.51E-06,63.3907406
4.98E-05,2.40E-06,6.22E-06,62.75026493
4.98E-05,2.40E-06,6.93E-06,62.17704755
4.98E-05,2.40E-06,7.64E-06,61.65621146
4.98E-05,2.40E-06,8.36E-06,61.17715911
4.98E-05,2.40E-06,9.07E-06,60.73211613
4.98E-05,2.40E-06,9.78E-06,60.31523647
4.98E-05,2.76E-06,1.12E-05,58.9768254
4.98E-05,2.76E-06,1.05E-05,59.40657322
4.98E-05,2.76E-06,4.80E-06,64.33930501
4.98E-05,2.76E-06,5.51E-06,63.56789451
4.98E-05,2.76E-06,6.22E-06,62.89183905
4.98E-05,2.76E-06,6.93E-06,62.28793816
4.98E-05,2.76E-06,7.64E-06,61.74023485
4.98E-05,2.76E-06,8.36E-06,61.23735765
4.98E-05,2.76E-06,9.07E-06,60.77096198
4.98E-05,2.76E-06,9.78E-06,60.33477162
4.98E-05,3.11E-06,1.12E-05,58.89247985
4.98E-05,3.11E-06,1.05E-05,59.33932234
4.98E-05,3.11E-06,4.80E-06,64.49299837
4.98E-05,3.11E-06,5.51E-06,63.68336183
4.98E-05,3.11E-06,6.22E-06,62.97496074
4.98E-05,3.11E-06,6.93E-06,62.34317389
4.98E-05,3.11E-06,7.64E-06,61.77105977
4.98E-05,3.11E-06,8.36E-06,61.24654144
4.98E-05,3.11E-06,9.07E-06,60.76075449
4.98E-05,3.11E-06,9.78E-06,60.30703058
4.98E-05,3.47E-06,1.12E-05,58.78081693
4.98E-05,3.47E-06,1.05E-05,59.24324053
4.98E-05,3.47E-06,4.80E-06,64.59955993
4.98E-05,3.47E-06,5.51E-06,63.75487777
4.98E-05,3.47E-06,6.22E-06,63.01683375
4.98E-05,3.47E-06,6.93E-06,62.35950043
4.98E-05,3.47E-06,7.64E-06,61.76503107
4.98E-05,3.47E-06,8.36E-06,61.22070005
4.98E-05,3.47E-06,9.07E-06,60.71716503
4.98E-05,3.47E-06,9.78E-06,60.24739719
4.98E-05,3.82E-06,1.12E-05,58.65115088
4.98E-05,3.82E-06,1.05E-05,59.12787225
4.98E-05,3.82E-06,4.80E-06,64.67123158
4.98E-05,3.82E-06,5.51E-06,63.79420162
4.98E-05,3.82E-06,6.22E-06,63.02880884
4.98E-05,3.82E-06,6.93E-06,62.34791607
4.98E-05,3.82E-06,7.64E-06,61.73283821
4.98E-05,3.82E-06,8.36E-06,61.17024898
4.98E-05,3.82E-06,9.07E-06,60.65036353
4.98E-05,3.82E-06,9.78E-06,60.16581931
4.98E-05,4.18E-06,1.12E-05,58.50964528
4.98E-05,4.18E-06,1.05E-05,58.99956174
