W,X,Y,Gain,ugf,pm
3.84e-05,3.466667e-06,4.8e-06,55.4488057979672,113195666.8428161,73.91237066781696
3.84e-05,3.466667e-06,5.511111e-06,55.5611045874699,117014687.0435618,73.04956814259374
3.84e-05,3.466667e-06,6.222222e-06,55.6505514572496,120059008.1498769,72.29482675771615
3.84e-05,3.466667e-06,6.933333e-06,55.7238661838226,122551591.9955146,71.62186493439462
3.84e-05,3.466667e-06,7.644444e-06,55.7853643453735,124635779.1883499,71.01259250020871
3.84e-05,3.466667e-06,8.355556e-06,55.8379426073367,126408176.1896412,70.45410865825369
3.84e-05,3.466667e-06,9.066667e-06,55.8836165110705,127936421.4406903,69.9369404768387
3.84e-05,3.466667e-06,9.777778e-06,55.923831187633,129269384.556601,69.45395906125867
3.84e-05,3.822222e-06,1.12e-05,55.5664943098067,136728076.2623221,67.53275723274527
3.84e-05,3.822222e-06,1.048889e-05,55.5268306320515,135535858.1416059,68.01720527384533
3.84e-05,3.822222e-06,4.8e-06,55.3391255086841,115702484.575954,74.03878689418097
3.84e-05,3.822222e-06,5.511111e-06,55.4524431256322,119498206.2966738,73.1462117133044
3.84e-05,3.822222e-06,6.222222e-06,55.5426868158452,122522708.1412396,72.36622489103408
3.84e-05,3.822222e-06,6.933333e-06,55.6166387156807,124998051.4444904,71.67145581296307
3.84e-05,3.822222e-06,7.644444e-06,55.6786556772126,127066976.6215691,71.04305793028517
3.84e-05,3.822222e-06,8.355556e-06,55.7316627876573,128825673.1532434,70.4675874846413
3.84e-05,3.822222e-06,9.066667e-06,55.7776957958101,130341479.6354956,69.93517093970988
3.84e-05,3.822222e-06,9.777778e-06,55.8182145830719,131663043.7109433,69.43837689390608
3.84e-05,4.177778e-06,1.12e-05,55.4718406343032,138805859.7448673,67.45871053255071
3.84e-05,4.177778e-06,1.048889e-05,55.4320377579806,137624317.6468136,67.95555719441779
3.84e-05,4.177778e-06,4.8e-06,55.2389914558404,117913902.5974471,74.13496151874457
3.84e-05,4.177778e-06,5.511111e-06,55.3532283543533,121689856.1837262,73.21473755449563
3.84e-05,4.177778e-06,6.222222e-06,55.444191476269,124697496.2753592,72.41131152787126
3.84e-05,4.177778e-06,6.933333e-06,55.5187189973584,127158135.6566209,71.69630031661026
3.84e-05,4.177778e-06,7.644444e-06,55.5812048791153,129214014.8224599,71.05015392471908
3.84e-05,4.177778e-06,8.355556e-06,55.6345997757478,130960975.4029537,70.45892352744795
3.84e-05,4.177778e-06,9.066667e-06,55.6809576228517,132466105.5528046,69.91236289855806
3.84e-05,4.177778e-06,9.777778e-06,55.7217515837972,133777867.3274555,69.40275918978637
3.84e-05,4.533333e-06,1.12e-05,55.3848325187285,140664614.5123165,67.37233165965375
3.84e-05,4.533333e-06,1.048889e-05,55.3449021262893,139492447.7933431,67.88070167732958
3.84e-05,4.533333e-06,4.8e-06,55.1470047263201,119887483.2364819,74.20748372061466
3.84e-05,4.533333e-06,5.511111e-06,55.2620784564352,123646419.719168,73.26145039033983
3.84e-05,4.533333e-06,6.222222e-06,55.3536968473761,126639506.2083095,72.4361502356862
3.84e-05,4.533333e-06,6.933333e-06,55.4287489095587,129087424.2091749,71.70225358113994
3.84e-05,4.533333e-06,7.644444e-06,55.491662282576,131131991.7428214,71.03955264337912
