W,X,Y,Gain
4.977778e-05,3.822222e-06,7.644444e-06,55.1991283734692
4.977778e-05,3.822222e-06,8.355556e-06,55.2409105794316
4.977778e-05,3.822222e-06,9.066667e-06,55.2766973590008
4.977778e-05,3.822222e-06,9.777778e-06,55.307796057579
4.977778e-05,4.177778e-06,1.12e-05,54.8265141817743
4.977778e-05,4.177778e-06,1.048889e-05,54.7950064417073
4.977778e-05,4.177778e-06,4.8e-06,54.8698900431205
4.977778e-05,4.177778e-06,5.511111e-06,54.9666623853478
4.977778e-05,4.177778e-06,6.222222e-06,55.0424177779973
4.977778e-05,4.177778e-06,6.933333e-06,55.1034918854524
4.977778e-05,4.177778e-06,7.644444e-06,55.1539256961238
4.977778e-05,4.177778e-06,8.355556e-06,55.1964127436755
4.977778e-05,4.177778e-06,9.066667e-06,55.2328140383718
4.977778e-05,4.177778e-06,9.777778e-06,55.2644543868596
4.977778e-05,4.533333e-06,1.12e-05,54.7914873454182
4.977778e-05,4.533333e-06,1.048889e-05,54.7596648332757
4.977778e-05,4.533333e-06,4.8e-06,54.8225613755141
4.977778e-05,4.533333e-06,5.511111e-06,54.9206099619964
4.977778e-05,4.533333e-06,6.222222e-06,54.9974049330469
4.977778e-05,4.533333e-06,6.933333e-06,55.05934460503
4.977778e-05,4.533333e-06,7.644444e-06,55.110512076404
4.977778e-05,4.533333e-06,8.355556e-06,55.1536303109823
4.977778e-05,4.533333e-06,9.066667e-06,55.1905815486557
4.977778e-05,4.533333e-06,9.777778e-06,55.2227063162601
4.977778e-05,4.888889e-06,1.12e-05,54.7573433953497
4.977778e-05,4.888889e-06,1.048889e-05,54.7252362601825
4.977778e-05,4.888889e-06,4.8e-06,54.7773891721586
4.977778e-05,4.888889e-06,5.511111e-06,54.8765934625061
4.977778e-05,4.888889e-06,6.222222e-06,54.9543292791993
4.977778e-05,4.888889e-06,6.933333e-06,55.0170518457803
4.977778e-05,4.888889e-06,7.644444e-06,55.0688825055017
4.977778e-05,4.888889e-06,8.355556e-06,55.1125709484921
4.977778e-05,4.888889e-06,9.066667e-06,55.1500186922845
4.977778e-05,4.888889e-06,9.777778e-06,55.182580537425
4.977778e-05,5.6e-06,1.12e-05,54.6920697384918
4.977778e-05,5.6e-06,1.048889e-05,54.6594660452015
4.977778e-05,5.6e-06,4.8e-06,54.6930825695912
4.977778e-05,5.6e-06,5.511111e-06,54.7943093067356
4.977778e-05,5.6e-06,6.222222e-06,54.8736902459015
4.977778e-05,5.6e-06,6.933333e-06,54.9377806183618
4.977778e-05,5.6e-06,7.644444e-06,54.9907689684683
4.977778e-05,5.6e-06,8.355556e-06,55.035451941916
4.977778e-05,5.6e-06,9.066667e-06,55.0737649212023
4.977778e-05,5.6e-06,9.777778e-06,55.1070877785771
4.977778e-05,5.244444e-06,1.12e-05,54.7241876251059
4.977778e-05,5.244444e-06,1.048889e-05,54.6918213344707
4.977778e-05,5.244444e-06,4.8e-06,54.7342679373163
4.977778e-05,5.244444e-06,5.511111e-06,54.8345265772426
4.977778e-05,5.244444e-06,6.222222e-06,54.9131202530153
4.977778e-05,5.244444e-06,6.933333e-06,54.9765562553894
4.977778e-05,5.244444e-06,7.644444e-06,55.0289909162343
4.977778e-05,5.244444e-06,8.355556e-06,55.0731983743362
4.977778e-05,5.244444e-06,9.066667e-06,55.1110977806376
4.977778e-05,5.244444e-06,9.777778e-06,55.1440569908635
5.546667e-05,2.4e-06,1.12e-05,53.4609304679219
5.546667e-05,2.4e-06,1.048889e-05,53.4406713189361
5.546667e-05,2.4e-06,4.8e-06,53.8974212901259
5.546667e-05,2.4e-06,5.511111e-06,53.966685015711
5.546667e-05,2.4e-06,6.222222e-06,54.0189154762636
5.546667e-05,2.4e-06,6.933333e-06,54.0595021228874
5.546667e-05,2.4e-06,7.644444e-06,54.0918320526069
5.546667e-05,2.4e-06,8.355556e-06,54.1181296670842
5.546667e-05,2.4e-06,9.066667e-06,54.1399089832224
5.546667e-05,2.4e-06,9.777778e-06,54.1582315816309
5.546667e-05,2.755556e-06,1.12e-05,53.5466143509542
5.546667e-05,2.755556e-06,1.048889e-05,53.5252708093782
5.546667e-05,2.755556e-06,4.8e-06,53.939441012134
5.546667e-05,2.755556e-06,5.511111e-06,54.0122722874643
5.546667e-05,2.755556e-06,6.222222e-06,54.0674810930476
5.546667e-05,2.755556e-06,6.933333e-06,54.1106057293826
5.546667e-05,2.755556e-06,7.644444e-06,54.1451345840215
5.546667e-05,2.755556e-06,8.355556e-06,54.1733636705708
5.546667e-05,2.755556e-06,9.066667e-06,54.1968592322653
5.546667e-05,2.755556e-06,9.777778e-06,54.2167219319168
5.546667e-05,3.111111e-06,1.12e-05,53.6094454072083
5.546667e-05,3.111111e-06,1.048889e-05,53.5871939069615
5.546667e-05,3.111111e-06,4.8e-06,53.9661028260043
5.546667e-05,3.111111e-06,5.511111e-06,54.041933041006
5.546667e-05,3.111111e-06,6.222222e-06,54.0996426360426
5.546667e-05,3.111111e-06,6.933333e-06,54.1448960151001
5.546667e-05,3.111111e-06,7.644444e-06,54.1812673273344
5.546667e-05,3.111111e-06,8.355556e-06,54.2111131889008
5.546667e-05,3.111111e-06,9.066667e-06,54.2360440206418
5.546667e-05,3.111111e-06,9.777778e-06,54.2571935311523
5.546667e-05,3.466667e-06,1.12e-05,53.6559844394578
5.546667e-05,3.466667e-06,1.048889e-05,53.632956357651
5.546667e-05,3.466667e-06,4.8e-06,53.9820177098827
5.546667e-05,3.466667e-06,5.511111e-06,54.0604193462953
5.546667e-05,3.466667e-06,6.222222e-06,54.1202711305551
5.546667e-05,3.466667e-06,6.933333e-06,54.1673463130985
5.546667e-05,3.466667e-06,7.644444e-06,54.2052930318447
5.546667e-05,3.466667e-06,8.355556e-06,54.2365201638287
5.546667e-05,3.466667e-06,9.066667e-06,54.2626762122408
5.546667e-05,3.466667e-06,9.777778e-06,54.284923362347
5.546667e-05,3.822222e-06,1.12e-05,53.6905931078354
5.546667e-05,3.822222e-06,1.048889e-05,53.6668898240301
5.546667e-05,3.822222e-06,4.8e-06,53.9902487208777
5.546667e-05,3.822222e-06,5.511111e-06,54.0708901933612
5.546667e-05,3.822222e-06,6.222222e-06,54.1326063018619
5.546667e-05,3.822222e-06,6.933333e-06,54.1812656679797
5.546667e-05,3.822222e-06,7.644444e-06,54.2205812303262
