 P             N,0.000001,0.0000015,0.000002,0.0000025,0.000003,0.0000035,0.000004,0.0000045,0.000005,0.0000055,0.000006,0.0000065,0.000007,0.0000075,0.000008,0.0000085,0.000009,0.0000095,0.00001,0.0000105,0.000011,0.0000115,0.000012,0.0000125,0.000013,0.0000135,0.000014,0.0000145,0.000015,0.0000155,0.000016,0.0000165,0.000017,0.0000175,0.000018,0.0000185,0.000019,0.0000195,0.00002
7.00E-06,13.45,19.3,20.24,19.9,19.09,18.15,17.17,15.8,12.95,9.042,5.777,3.329,1.433,-9.96E-02,-1.383,-2.488,-3.457,-4.321,-5.101,-9.001,-9.559,-10.08,-10.57,-11.04,-11.48,-11.9,-12.31,-12.69,-13.05,-13.4,-13.74,-14.06,-14.37,-14.67,-14.96,-15.24,-15.51,-15.77,-16.03
7.50E-06,10.86,18.76,20.14,20.1,19.47,18.62,17.74,16.76,15.17,12.07,8.441,5.507,3.264,1.494,4.42E-02,-1.181,-2.242,-3.177,-4.014,-8.115,-8.695,-9.236,-9.744,-10.22,-10.68,-11.11,-11.52,-11.91,-12.29,-12.65,-12.99,-13.32,-13.63,-13.94,-14.23,-14.52,-14.79,-15.06,-15.32
1.50E-06,8.635,-1.144,-5.423,-8.206,-10.28,-11.93,-13.32,-14.5,-15.54,-16.46,-17.3,-18.06,-18.76,-19.4,-20.01,-20.57,-21.1,-21.59,-22.06,-24.72,-25.13,-25.53,-25.9,-26.26,-26.61,-26.94,-27.26,-27.57,-27.87,-28.15,-28.43,-28.7,-28.97,-29.22,-29.47,-29.71,-29.94,-30.17,-30.39
8.00E-06,8.272,18.1,19.95,20.2,19.76,19.03,18.21,17.37,16.34,14.47,11.27,7.932,5.278,3.208,1.548,1.72E-01,-9.99E-01,-2.02,-2.924,-7.254,-7.856,-8.417,-8.942,-9.437,-9.903,-10.34,-10.76,-11.16,-11.55,-11.91,-12.27,-12.61,-12.93,-13.24,-13.54,-13.83,-14.11,-14.38,-14.64
8.50E-06,6.07,17.28,19.68,20.22,19.97,19.37,18.62,17.85,17.02,15.87,13.73,10.56,7.512,5.081,3.159,1.596,2.88E-01,-8.35E-01,-1.818,-6.41,-7.037,-7.62,-8.164,-8.674,-9.155,-9.61,-10.04,-10.45,-10.84,-11.22,-11.57,-11.92,-12.26,-12.57,-12.88,-13.17,-13.46,-13.73,-14
9.00E-06,4.197,16.24,19.34,20.16,20.12,19.64,18.98,18.26,17.52,16.68,15.37,13,9.932,7.149,4.91,3.116,1.639,3.92E-01,-6.86E-01,-5.578,-6.233,-6.839,-7.404,-7.932,-8.428,-8.896,-9.34,-9.761,-10.16,-10.54,-10.91,-11.26,-11.6,-11.92,-12.24,-12.54,-12.83,-13.11,-13.38
9.50E-06,2.61,14.89,18.94,20.03,20.19,19.86,19.29,18.62,17.94,17.22,16.32,14.82,12.31,9.388,6.83,4.76,3.077,1.678,4.86E-01,-4.765,-5.439,-6.071,-6.658,-7.205,-7.718,-8.201,-8.658,-9.09,-9.501,-9.893,-10.27,-10.63,-10.97,-11.3,-11.62,-11.92,-12.23,-12.51,-12.79
1.05E-05,1.55,13.93,18.83,20.02,20.23,19.95,19.43,18.79,18.12,17.44,16.65,15.47,13.39,10.59,7.902,5.681,3.876,2.385,1.124,-4.33,-5.023,-5.67,-6.269,-6.827,-7.349,-7.841,-8.304,-8.743,-9.16,-9.557,-9.936,-10.3,-10.65,-10.98,-11.3,-11.61,-11.91,-12.2,-12.48
1.00E-05,1.252,13.25,18.47,19.85,20.2,20.02,19.55,18.95,18.3,17.64,16.92,15.93,14.24,11.66,8.911,6.551,4.626,3.043,1.713,-3.938,-4.662,-5.312,-5.923,-6.491,-7.022,-7.521,-7.992,-8.437,-8.859,-9.261,-9.644,-10.01,-10.36,-10.7,-11.02,-11.34,-11.64,-11.93,-12.21
1.10E-05,4.00E-01,12.19,18.37,19.84,20.23,20.09,19.65,19.07,18.44,17.8,17.12,16.27,14.88,12.6,9.884,7.398,5.368,3.691,2.29,-3.564,-4.304,-4.969,-5.592,-6.17,-6.71,-7.217,-7.694,-8.145,-8.572,-8.979,-9.367,-9.737,-10.09,-10.43,-10.76,-11.07,-11.38,-11.67,-11.95
