a,b,c,d,gain,pm,ugf
1.12e-05,0.000132012,5.066667e-06,4.69e-05,46.99589072,86.11290022,95.26858711
1.12e-05,0.000132012,5.066667e-06,5.12e-05,50.23232554,82.86674069,105.4858125
1.12e-05,0.000132012,5.066667e-06,5.55e-05,52.24958306,79.51436163,112.97252590000001
1.12e-05,0.000132012,5.066667e-06,5.97e-05,53.49785193,75.76056439,118.6377032
1.12e-05,0.000132012,5.066667e-06,6.4e-05,54.26555914,71.76108375,122.96197959999999
1.12e-05,0.000132012,5.066667e-06,6.83e-05,54.74248985,68.01029302,126.6008647
1.12e-05,0.000132012,5.066667e-06,7.25e-05,55.04082737,65.15193768,131.3103575
1.12e-05,0.000132012,5.066667e-06,7.68e-05,55.22418413,62.61538852,135.2220316
1.12e-05,0.000132012,5.066667e-06,8.11e-05,55.32849565,60.40152103,138.4828535
1.12e-05,0.000132012,5.066667e-06,8.53e-05,55.37418179,58.47167297,141.1976093
1.12e-05,0.000132012,5.066667e-06,8.96e-05,55.37273036,56.78183335,143.4482495
1.12e-05,0.000132012,5.333333e-06,3.84e-05,36.52569087,96.77849889,68.78614006999999
1.12e-05,0.000132012,5.333333e-06,4.27e-05,42.04403548,89.81346172,83.16500781
1.12e-05,0.000132012,5.333333e-06,4.69e-05,47.04206418,85.6004672,98.0721632
1.12e-05,0.000132012,5.333333e-06,5.12e-05,50.22951697,82.2208667,108.0838986
1.12e-05,0.000132012,5.333333e-06,5.55e-05,52.20136382,78.77065688,115.4404432
1.12e-05,0.000132012,5.333333e-06,5.97e-05,53.41821844,74.98251537,121.0048398
1.12e-05,0.000132012,5.333333e-06,6.4e-05,54.16819045,71.01141245,125.2303028
1.12e-05,0.000132012,5.333333e-06,6.83e-05,54.63664729,67.81718311,130.3820964
1.12e-05,0.000132012,5.333333e-06,7.25e-05,54.93214442,64.98316176,134.9766974
1.12e-05,0.000132012,5.333333e-06,7.68e-05,55.11606072,62.46517946,138.7924712
1.12e-05,0.000132012,5.333333e-06,8.11e-05,55.22310115,60.26430346,141.9745034
1.12e-05,0.000132012,5.333333e-06,8.53e-05,55.27305381,58.34324915,144.6255187
1.12e-05,0.000132012,5.333333e-06,8.96e-05,55.27712278,56.65932117,146.8254562
1.12e-05,0.0,5.333333e-06,3.84e-05,19.12875418,85.57083514,12.77263385
1.12e-05,0.0,5.333333e-06,4.27e-05,20.40463815,86.84255574,14.17792193
1.12e-05,0.0,5.333333e-06,4.69e-05,21.59589511,88.02291278,15.365117060000001
1.12e-05,0.0,5.333333e-06,5.12e-05,22.72365924,89.29630355,17.073835969999998
1.12e-05,0.0,5.333333e-06,5.55e-05,23.80413583,90.54398688,19.12596438
1.12e-05,0.0,5.333333e-06,5.97e-05,24.84993142,91.63800314,20.95816159
1.12e-05,0.0,5.333333e-06,6.4e-05,25.87377201,92.60775768,22.609191510000002
1.12e-05,0.0,5.333333e-06,6.83e-05,26.88459784,93.45051836,24.25957032
1.12e-05,0.0,5.333333e-06,7.25e-05,27.89262905,93.78930775,27.40515466
1.12e-05,0.0,5.333333e-06,7.68e-05,28.90770396,93.89758349,30.30154071
1.12e-05,0.0,5.333333e-06,8.11e-05,29.94021663,93.7989716,32.981546800000004
1.12e-05,0.0,5.333333e-06,8.53e-05,31.00009495,93.51361288,35.47069749
1.12e-05,0.0,5.333333e-06,8.96e-05,32.10389774,92.48521681,39.26521105
1.12e-05,0.0003889991,2.4e-06,3.84e-05,18.65347525,87.45518034,12.62083011
1.12e-05,0.0003889991,2.4e-06,4.27e-05,19.93290769,88.66845542,14.08033763
1.12e-05,0.0003889991,2.4e-06,4.69e-05,21.12956433,89.79810965,15.311956689999999
1.12e-05,0.0003889991,2.4e-06,5.12e-05,22.26370528,91.01448902,17.03969753
1.12e-05,0.0003889991,2.4e-06,5.55e-05,23.35156624,92.22330474,19.16883257
1.12e-05,0.0003889991,2.4e-06,5.97e-05,24.4058354,93.28808172,21.06742393
1.12e-05,0.0003889991,2.4e-06,6.4e-05,25.43992596,94.23548626,22.77682788
1.12e-05,0.0003889991,2.4e-06,6.83e-05,26.46251016,94.99752524,24.76610918
1.12e-05,0.0003889991,2.4e-06,7.25e-05,27.48422104,95.25232736,28.03363588
1.12e-05,0.0003889991,2.4e-06,7.68e-05,28.51535154,95.27711548,31.04016806
1.12e-05,0.0003889991,2.4e-06,8.11e-05,29.56697693,95.09297469,33.82018744
1.12e-05,0.0003889991,2.4e-06,8.53e-05,30.64912227,94.68480025,36.49157095
1.12e-05,0.0003889991,2.4e-06,8.96e-05,31.78021907,93.10811483,41.27694954
1.12e-05,0.0003889991,2.666667e-06,3.84e-05,18.26753876,88.93439906,12.480591140000001
1.12e-05,0.0003889991,2.666667e-06,4.27e-05,19.55081398,90.10226926,13.98657976
1.12e-05,0.0003889991,2.666667e-06,4.69e-05,20.751949,91.19416276,15.25564001
1.12e-05,0.0003889991,2.666667e-06,5.12e-05,21.89194088,92.36510158,16.98530593
1.12e-05,0.0003889991,2.666667e-06,5.55e-05,22.98619924,93.54746105,19.17981348
1.12e-05,0.0003889991,2.666667e-06,5.97e-05,24.04781074,94.59304737,21.13484262
1.12e-05,0.0003889991,2.666667e-06,6.4e-05,25.09069906,95.52653647,22.89388198
1.12e-05,0.0003889991,2.666667e-06,6.83e-05,26.12334128,96.22434869,25.14177608
1.12e-05,0.0003889991,2.666667e-06,7.25e-05,27.15663164,96.41812216,28.51367021
1.12e-05,0.0003889991,2.666667e-06,7.68e-05,28.20129617,96.38146345,31.61421721
1.12e-05,0.0003889991,2.666667e-06,8.11e-05,29.26902616,96.13321686,34.479415659999994
1.12e-05,0.0003889991,2.666667e-06,8.53e-05,30.3713072,95.35310881,37.97205998
1.12e-05,0.0003889991,2.666667e-06,8.96e-05,31.53316181,93.53705947,42.90504231
1.12e-05,0.0003889991,2.933333e-06,3.84e-05,17.80242725,90.66058642,12.29312906
1.12e-05,0.0003889991,2.933333e-06,4.27e-05,19.09032604,91.77841235,13.85703114
1.12e-05,0.0003889991,2.933333e-06,4.69e-05,20.29568577,92.83093026,15.17186733
1.12e-05,0.0003889991,2.933333e-06,5.12e-05,21.44346297,93.94818679,16.88781345
1.12e-05,0.0003889991,2.933333e-06,5.55e-05,22.54500957,95.10544566,19.16356066
1.12e-05,0.0003889991,2.933333e-06,5.97e-05,23.61873895,96.12858503,21.19389647
1.12e-05,0.0003889991,2.933333e-06,6.4e-05,24.67279067,97.05017225,23.01552723
1.12e-05,0.0003889991,2.933333e-06,6.83e-05,25.71816438,97.67441612,25.55953456
1.12e-05,0.0003889991,2.933333e-06,7.25e-05,26.76583148,97.80314963,29.06340355
1.12e-05,0.0003889991,2.933333e-06,7.68e-05,27.82715695,97.70021789,32.28239157
1.12e-05,0.0003889991,2.933333e-06,8.11e-05,28.91488791,97.38108953,35.254980429999996
1.12e-05,0.0003889991,2.933333e-06,8.53e-05,30.05316765,96.07730002,39.76281098
1.12e-05,0.0003889991,2.933333e-06,8.96e-05,31.23957776,93.99876887,44.85121077
1.12e-05,0.0003889991,3.2e-06,3.84e-05,17.21991859,92.74163207,12.032435710000001
1.12e-05,0.0003889991,3.2e-06,4.27e-05,18.5156926,93.7990804,13.67394346
